SearchResults
Search type: State,,,,
California,,,,
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
AGROP3,,×Agropogon Fourn.,agropogon,US06
AGLI,,×Agropogon littoralis (Sm.) C.E. Hubbard [Agrostis stolonifera × Polypogon monospeliensis],coast agropogon,US06
AGLI,POLI5,Polypogon littoralis Sm.,,US06
ELYHO,,×Elyhordeum Mansf. ex Zizin & Petrowa,barley,US06
ELCA25,SICA21,×Sitordeum californicum Bowden,,US06
ELCA25,ELCA26,×Elytesion californicum (Bowden) Barkworth & D.R. Dewey,,US06
ELCA25,,×Elyhordeum californicum (Bowden) Barkworth [Elymus multisetus × Hordeum jubatum],California barley,US06
ELMA8,,×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum],Macoun's barley,US06
ELMA8,AGMAV2,×Agrohordeum macounii (Vasey) Lepage var. valencianum Bowden,,US06
ELMA8,ELMA9,Elymus macounii Vasey,,US06
ELMA8,AGMA8,×Agrohordeum macounii (Vasey) Lepage,,US06
ELMA8,ELMA10,×Elytesion macounii (Vasey) Barkworth & D.R. Dewey,,US06
ELST,ELST4,×Elymordeum stebbinsianum Bowden,,US06
ELST,,×Elyhordeum stebbinsianum (Bowden) Bowden [Elymus glaucus × Hordeum jubatum],Stebbins' barley,US06
ELST,ELST6,×Elytesion stebbinsianum (Bowden) Barkworth & D.R. Dewey,,US06
ELYLE,,×Elyleymus Baum,wildrye,US06
ELAR6,ELAR4,×Elysitanion aristatum (Merr.) Bowden,,US06
ELAR6,ELAR10,Elymus aristatus Merr.,,US06
ELAR6,ELGLA,Elymus glaucus Buckley var. aristatus (Merr.) Hitchc.,,US06
ELAR6,,×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides],purple wildrye,US06
PSEUD23,,×Pseudelymus Barkworth & D.R. Dewey,foxtail wheatgrass,US06
PSSA2,,×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata],foxtail wheatgrass,US06
PSSA2,ELSA6,Elymus saxicola Scribn. & J.G. Sm.,,US06
PSSA2,AGSA2,Agropyron saxicola (Scribn. & J.G. Sm.) Piper,,US06
PSSA2,AGSA5,×Agrositanion saxicola (Scribn. & J.G. Sm.) Bowden,,US06
ABIES,,Abies Mill.,fir,US06
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,US06
ABBR,ABVE,Abies venusta (Douglas) K. Koch,,US06
ABBR,,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir,US06
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,US06
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,US06
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,US06
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,US06
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,US06
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US06
ABLAL,ABBI3,Abies bifolia A. Murray bis,,US06
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,US06
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,US06
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,US06
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,US06
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,US06
ABLAL,ABSU,Abies subalpina Engelmann,,US06
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,US06
ABLO,,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,US06
ABMA,,Abies magnifica A. Murray bis,California red fir,US06
ABMAM,,Abies magnifica A. Murray bis var. magnifica,California red fir,US06
ABMAS,ABMAC,Abies magnifica A. Murray bis var. critchfieldii Lanner,,US06
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir,US06
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba,,US06
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,,US06
ABPR,,Abies procera Rehder,noble fir,US06
ABPR,ABNO,Abies nobilis (Douglas ex D. Don) Lindl.,,US06
ABRON,,Abronia Juss.,sand verbena,US06
ABAL,,Abronia alpina Brandegee,Ramshaw Meadows sand verbena,US06
ABGR2,,Abronia gracilis Benth.,slender sand verbena,US06
ABIN2,,Abronia insularis Standl.,island sand verbena,US06
ABLA2,,Abronia latifolia Eschsch.,coastal sand verbena,US06
ABMA2,,Abronia maritima Nutt. ex S. Watson,red sand verbena,US06
ABMI2,,Abronia minor Standl.,little sand verbena,US06
ABNA,,Abronia nana S. Watson,dwarf sand verbena,US06
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl) Munz,,US06
ABNAC,,Abronia nana S. Watson var. covillei (Heimerl) Munz,Coville's dwarf sand verbena,US06
ABNAN,,Abronia nana S. Watson var. nana,dwarf sand verbena,US06
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,,US06
ABNE,,Abronia neurophylla Standl.,beach sand verbena,US06
ABPO,,Abronia pogonantha Heimerl,Mojave sand verbena,US06
ABTU,,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,US06
ABTU,ABOR2,Abronia orbiculata Standl.,,US06
ABTU,ABEX,Abronia exalata Standl.,,US06
ABUM,,Abronia umbellata Lam.,pink sand verbena,US06
ABUMB,,Abronia umbellata Lam. ssp. breviflora (Standl.) Munz,pink sand verbena,US06
ABUMB,ABUMA2,Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett,,US06
ABUMB,ABBR2,Abronia breviflora Standl.,,US06
ABUMB,ABAC,Abronia acutalata Standl.,,US06
ABUMB,ABUMA3,Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.,,US06
ABUMU,ABUMP,Abronia umbellata Lam. ssp. platyphylla (Standl.) Munz,,US06
ABUMU,ABPL,Abronia platyphylla Standl.,,US06
ABUMU,ABAL2,Abronia alba Eastw.,,US06
ABUMU,,Abronia umbellata Lam. ssp. umbellata,pink sand verbena,US06
ABUMU,ABUMA4,Abronia umbellata Lam. ssp. alba (Eastw.) Munz,,US06
ABUMU,ABUMV,Abronia umbellata Lam. ssp. variabilis (Standl.) Munz,,US06
ABUMU,ABVA,Abronia variabilis Standl.,,US06
ABVI,,Abronia villosa S. Watson,desert sand verbena,US06
ABVIA,,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena,US06
ABVIA,ABPI2,Abronia pinetorum Abrams,,US06
ABVIV,,Abronia villosa S. Watson var. villosa,desert sand verbena,US06
ABUTI,,Abutilon Mill.,Indian mallow,US06
ABPA,,Abutilon palmeri A. Gray,Palmer's Indian mallow,US06
ABPA3,,Abutilon parvulum A. Gray,dwarf Indian mallow,US06
ABTH,ABAV,Abutilon avicennae Gaertn.,,US06
ABTH,,Abutilon theophrasti Medik.,velvetleaf,US06
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,US06
ACACI,,Acacia Mill.,acacia,US06
ACBA,,Acacia baileyana F. Muell.,cootamundra wattle,US06
ACCY2,,Acacia cyclops A. Cunn. ex G. Don,coastal wattle,US06
ACDE3,,Acacia dealbata Link,silver wattle,US06
ACDE3,ACDED,Acacia decurrens (Wendl. f.) Willd. var. dealbata (Link) F. Muell.,,US06
ACDE,,Acacia decurrens (Wendl. f.) Willd.,green wattle,US06
ACDE,MIDE17,Mimosa decurrens Wendl. f.,,US06
ACEL,,Acacia elata A. Cunn. ex Benth.,cedar wattle,US06
ACLO,ACLA,Acacia latifolia hort.,,US06
ACLO,,Acacia longifolia (Andrews) Willd.,Sydney golden wattle,US06
ACME80,,Acacia mearnsii De Wild.,black wattle,US06
ACME80,ACDEM,Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.,,US06
ACME,,Acacia melanoxylon R. Br.,blackwood,US06
ACPA8,ACAR15,Acacia armata R. Br.,,US06
ACPA8,,Acacia paradoxa DC.,paradox acacia,US06
ACPO2,,Acacia podalyriifolia A. Cunn. ex G. Don,pearl wattle,US06
ACPY3,,Acacia pycnantha Benth.,golden wattle,US06
ACRE9,,Acacia redolens Maslin,bank catclaw,US06
ACRE2,,Acacia retinodes Schltdl.,water wattle,US06
ACSA,,Acacia saligna (Labill.) Wendl. f.,orange wattle,US06
ACSA,ACCY,Acacia cyanophylla Lindl.,,US06
ACVE2,,Acacia verticillata (L'Hér.) Willd.,prickly Moses,US06
ACAEN,,Acaena Mutis ex L.,acaena,US06
ACNO7,,Acaena novae-zelandiae Kirk,biddy-biddy,US06
ACNO7,ACSA4,Acaena sanguisorbae auct. non (L. f.) Vahl,,US06
ACNO7,ACAN3,Acaena anserinifolia auct. non (J.R. Forst. & G. Forst.) Druce,,US06
ACNO7,ACNO4,"Acaena novae-zelandica Kirk, orth. var.",,US06
ACPA14,,Acaena pallida (Kirk) Allen,pale biddy-biddy,US06
ACPI3,,Acaena pinnatifida Ruiz & Pav.,Argentinian biddy-biddy,US06
ACPIC2,,Acaena pinnatifida Ruiz & Pav. var. californica (Bitter) Jeps.,California biddy-biddy,US06
ACPIC2,ACCA2,Acaena californica Bitter,,US06
ACALY,,Acalypha L.,copperleaf,US06
ACCA3,ACPR,Acalypha pringlei S. Watson,,US06
ACCA3,,Acalypha californica Benth.,California copperleaf,US06
ACAMP,,Acamptopappus (A. Gray) A. Gray,goldenhead,US06
ACSH,,Acamptopappus shockleyi A. Gray,Shockley's goldenhead,US06
ACSP,,Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray,rayless goldenhead,US06
ACSPH,,Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. hirtellus S.F. Blake,rayless goldenhead,US06
ACSPS2,,Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus,rayless goldenhead,US06
ACSPS2,APSP2,Aplopappus sphaerocephalus Harv. & A. Gray ex A. Gray,,US06
ACANT2,,Acanthomintha (A. Gray) A. Gray,thorn-mint,US06
ACDU2,,Acanthomintha duttonii (Abrams) Jokerst,San Mateo thorn-mint,US06
ACDU2,ACOBD,Acanthomintha obovata Jeps. ssp. duttonii Abrams,,US06
ACIL,,Acanthomintha ilicifolia (A. Gray) A. Gray,San Diego thorn-mint,US06
ACLA2,,Acanthomintha lanceolata Curran,Santa Clara thorn-mint,US06
ACOB,,Acanthomintha obovata Jeps.,San Benito thorn-mint,US06
ACOBC,,Acanthomintha obovata Jeps. ssp. cordata Jokerst,heartleaf thorn-mint,US06
ACOBO,,Acanthomintha obovata Jeps. ssp. obovata,San Benito thorn-mint,US06
ACANT7,,Acanthus L.,acanthus,US06
ACMO8,,Acanthus mollis L.,bear's breech,US06
ACARO2,,Acarospora A. Massal.,cracked lichen,US06
ACER,,Acer L.,maple,US06
ACCA5,,Acer campestre L.,hedge maple,US06
ACCI,,Acer circinatum Pursh,vine maple,US06
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,US06
ACGLD3,,Acer glabrum Torr. var. diffusum (Greene) Smiley,Rocky Mountain maple,US06
ACGLD3,ACDI,Acer diffusum Greene,,US06
ACGLD3,ACGLD,Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray,,US06
